,Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,class,allCaps,adjectives,superlatives,avgSentenceLen,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
189,956,4.629707112970713,11,0,0,0.0,98.0,0.0,235.56521739130434,0.9814,0.05,0.941,0.01,0.006435006435006435
190,1145,4.540611353711791,25,0,0,0.0,121.0,1.0,199.625,0.953,0.061,0.896,0.043,0.005454262116253701
191,562,5.080071174377224,12,0,0,0.0,52.0,0.0,264.15384615384613,-0.9861,0.044,0.86,0.096,0.0014509576320371445
192,267,4.426966292134831,0,0,0,3.0,26.0,1.0,97.46666666666667,0.9604,0.125,0.824,0.051,0.0047457627118644066
193,915,5.170491803278688,30,0,0,1.0,108.0,0.0,474.5,0.9948,0.118,0.818,0.064,0.0014022787028921998
194,1330,4.7939849624060145,54,4,0,0.0,150.0,7.0,299.96153846153845,-0.5664,0.09,0.816,0.093,0.0033231083844580778
195,82,4.585365853658536,12,0,0,0.0,16.0,0.0,118.25,-0.5106,0.02,0.92,0.06,0.0021008403361344537
196,886,4.322799097065463,38,0,0,0.0,80.0,1.0,176.40740740740742,0.8823,0.053,0.909,0.038,0.006264355815410315
197,79,4.89873417721519,17,0,0,0.0,15.0,0.0,240.0,0.4404,0.065,0.907,0.029,0.002079002079002079
198,77,4.1688311688311686,4,0,0,0.0,7.0,0.0,136.0,0.8537,0.155,0.845,0.0,0.007317073170731708
199,916,4.348253275109172,7,1,0,1.0,86.0,3.0,183.62962962962962,0.9491,0.108,0.797,0.095,0.0010032102728731941
200,101,4.2673267326732685,8,0,0,0.0,11.0,0.0,109.2,0.4939,0.077,0.88,0.043,0.0036363636363636364
201,1004,4.489043824701195,21,0,0,1.0,95.0,4.0,158.05714285714285,0.9981,0.14,0.809,0.051,0.005030542579949695
202,77,5.038961038961039,12,0,0,0.0,15.0,0.0,120.5,0.6808,0.074,0.926,0.0,0.002061855670103093
203,439,5.054669703872436,52,0,0,1.0,41.0,0.0,894.6666666666666,0.743,0.074,0.867,0.06,0.0011169024571854058
204,498,4.546184738955823,26,0,0,8.0,55.0,2.0,198.92857142857142,0.9223,0.125,0.777,0.097,0.0035739814152966403
205,484,4.650826446280992,14,0,0,4.0,48.0,0.0,155.0,0.796,0.031,0.956,0.014,0.006056287851799074
206,188,5.462765957446809,8,0,0,0.0,27.0,0.0,176.57142857142858,-0.647,0.02,0.933,0.047,0.004025764895330112
207,403,4.511166253101737,10,0,0,0.0,32.0,1.0,224.3,-0.9881,0.086,0.761,0.153,0.0004440497335701599
208,464,4.762931034482759,28,0,0,1.0,40.0,0.0,270.3,-0.994,0.019,0.852,0.129,0.0025811209439528023
209,128,4.296875,6,0,0,0.0,15.0,0.0,138.6,0.8761,0.096,0.878,0.026,0.005738880918220947
210,188,4.776595744680852,0,0,0,0.0,30.0,0.0,181.83333333333334,-0.7814,0.066,0.821,0.112,0.011861313868613138
211,520,4.296153846153846,0,1,0,0.0,50.0,1.0,115.0,0.9805,0.087,0.887,0.025,0.0057553956834532375
212,444,5.3108108108108105,19,0,0,2.0,47.0,0.0,314.1111111111111,-0.6858,0.053,0.875,0.072,0.0028208744710860366
213,468,5.245726495726496,8,0,0,1.0,56.0,0.0,327.8888888888889,0.0183,0.071,0.855,0.075,0.006421088205474822
214,1071,4.65639589169001,50,0,0,1.0,95.0,1.0,338.8888888888889,-0.9786,0.068,0.84,0.091,0.003269576589831617
