Article_len,Avg_Word_Len,CountOfNumbers,CountofExclaimation
1095,4.53972602739726,24,0
516,4.234496124031008,6,0
651,4.490015360983103,26,0
194,4.582474226804123,0,1
987,4.218844984802431,15,0
283,4.734982332155477,14,0
291,4.474226804123711,10,0
276,4.786231884057971,2,0
586,4.948805460750854,25,0
283,5.169611307420495,0,0
357,4.938375350140056,27,0
1724,4.567285382830627,109,0
1026,4.538986354775829,84,0
570,4.73859649122807,26,0
261,4.498084291187739,4,0
330,4.757575757575758,6,0
1091,4.9046746104491294,33,0
915,4.99016393442623,40,0
672,4.1875,8,1
8503,4.563565800305774,503,2
1151,4.688097306689835,90,0
722,4.688365650969529,18,0
501,4.395209580838324,31,1
1060,4.1773584905660375,26,4
1253,4.382282521947326,32,1
787,5.09148665819568,27,0
790,4.715189873417722,24,0
218,4.591743119266055,1,0
1044,4.658045977011494,30,0
1446,4.803596127247579,18,0
712,4.151685393258427,16,1
929,4.55005382131324,18,0
217,4.451612903225806,3,0
220,5.081818181818182,7,0
236,5.305084745762712,2,0
183,5.158469945355192,34,0
1413,5.077848549186129,85,0
691,4.327062228654125,18,3
1250,4.8712,26,0
438,4.340182648401827,27,5
383,4.592689295039165,60,0
559,4.305903398926655,14,0
744,4.64247311827957,10,1
1002,4.738522954091817,19,0
957,4.559038662486938,59,1
218,4.6422018348623855,0,0
1018,4.605108055009823,47,0
92,4.619565217391305,4,0
2892,4.436376210235132,104,2
987,4.716312056737588,46,0
1670,4.625748502994012,161,0
243,4.958847736625515,24,0
328,4.521341463414634,6,0
512,5.044921875,8,0
1060,4.943396226415095,28,0
272,4.738970588235294,18,0
618,4.406148867313916,69,0
1180,4.445762711864407,0,1
1936,4.529958677685951,71,1
680,4.591176470588235,10,0
410,4.695121951219512,18,0
1512,4.1646825396825395,50,1
543,4.871086556169429,158,0
380,4.792105263157895,4,0
1545,4.866019417475728,79,0
933,5.332261521972133,19,0
1108,4.575812274368231,57,0
1200,4.7775,129,0
1205,4.69792531120332,61,0
834,4.790167865707434,0,0
582,4.853951890034364,31,0
989,4.8351870576339735,0,3
1166,4.871355060034305,15,0
372,4.413978494623656,9,0
1037,4.750241080038573,88,0
1089,5.031221303948577,40,0
1124,4.577402135231317,27,0
1259,4.7378872120730735,61,0
77,4.324675324675325,9,0
681,4.0,8,0
1280,4.878125,33,0
1101,4.566757493188011,64,0
718,4.543175487465181,31,0
1852,4.269438444924406,20,3
824,4.871359223300971,94,0
471,4.399150743099788,11,0
1038,4.776493256262042,24,2
1055,4.595260663507109,34,0
467,4.488222698072805,13,0
1642,4.79537149817296,11,0
1594,4.692597239648682,55,0
1088,4.65625,21,1
572,4.777972027972028,12,0
828,4.336956521739131,76,0
3661,4.632340890467085,80,3
215,4.660465116279069,2,0
999,4.473473473473473,6,0
765,4.10718954248366,18,0
1204,5.270764119601329,71,0
1230,4.424390243902439,54,0
617,5.081037277147487,21,0
880,4.4772727272727275,7,0
879,4.5881683731513085,8,1
849,4.762073027090695,10,4
946,4.549682875264271,36,1
427,4.840749414519906,6,0
73,4.383561643835616,5,0
788,4.937817258883249,66,0
1084,4.935424354243542,36,0
821,4.791717417783191,126,0
983,4.932858596134283,19,0
420,5.045238095238095,89,0
635,4.570078740157481,12,0
427,4.704918032786885,23,0
666,4.3993993993994,0,1
1093,4.733760292772186,12,0
580,3.882758620689655,22,1
691,4.856729377713458,13,0
1170,4.2786324786324785,46,1
50,4.08,0,0
886,4.267494356659142,14,1
601,4.8236272878535775,26,0
535,5.018691588785047,31,0
86,4.3023255813953485,0,1
